name,price,status,shipping,free_returns,items_sold
Johnny Depp Jeff Beck 2022 North American Tour Premium Coffee Mug,1299,Brand New,699,False,
Zoolander Mug | Mugatu Coffee Mug | Funny Coffee Mug | 11oz Mug |,1600,Brand New,0,False,
Pfaltzgraff No Drama Llama Ceramic Embossed Coffee Mug,1300,Pre-Owned,850,False,
Funny Donald Trump Great Dad Coffee Mug Daddy Special Gift For Fathers Day Cup ,999,Brand New,599,True,
New ListingPORTOBELLO by Design PENGUIN Family Christmas Coffee Tea MUG New NWT,1600,Brand New,820,False,
Sleepless in Seattle coffee  mug cup ,700,Pre-Owned,700,False,
"Funny Boxer Dog Coffee Mug, Funny gift for Boxer dog mom, Boxer Dad Mug Chris...",1699,Brand New,0,True,
To My Wife Mug I Maried You I May Not Be But I Just Want To Be I Love You Couple,1515,Brand New,0,False,
"The Pioneer Woman Novelty Gingham 16-oz Mugs, Set of 4 New",2198,Brand New,0,False,14
New ListingCork-back coaster - HO HO HO GNOMES,1549,Brand New,0,False,
"15oz Mug Custom, Custom Coffee Cup,Personalized Photo Mug, Custom Mug",1999,Brand New,0,False,
"New ListingTaupe, Grey, Multi, or Orange Cat Christmas Mug | Festive Holiday for 2UBX7PR",1299,Brand New,599,False,
New ListingTears Of My Player Dragon Funny Dungeon Master Mug 11-15 Oz 11 Tea Mug Coffee,1499,Brand New,499,False,
New ListingBeing My Sister Is Really The Only Gift You Need Love You Family Gifts Mug,599,Brand New,0,False,
New ListingUniverse Cat with Galaxy Print Mug,1550,Brand New,699,True,
"New ListingDinosaur Merry Christmas Ceramic Mug 11oz, Holiday Christmas Mug, 3JPB4PQ",1299,Brand New,599,False,
Sheriff Family Police Gift Coffee Mug,1399,Brand New,0,False,
Royal Worcester Wrendale Designs Coffee Mug - What a Hoot (Owl) 14oz,1499,Brand New,0,True,65
"Pampered Chef White Cup for Egg Cooker, Oatmeal, Cake Mug With Lid Silicone Grip",299,Pre-Owned,1061,False,
C**t White glossy mug,1050,Brand New,649,True,
T**t White glossy mug,1050,Brand New,649,True,
Clan Mackintosh Scottish Tartan & Crest Mug,1444,Brand New,0,True,
"New ListingThe Pioneer Woman Farmhouse Lace 4-Piece 17-Ounce Mug Set, Ocean Teal",2260,Brand New,0,True,
"Anesthesiology Coffee Mug, Gift For College Students, Future Expert 11oz White C",2195,Brand New,0,False,
Retirement Poem For Men or Women Coffee Tea Ceramic Mug Office Cup Gift,590,Pre-Owned,499,False,
Porcelain Tea Mug Glossy Home Office Microwave Safe W/ Infuser And Lid 16oz,1691,Brand New,0,True,
2 Foam Insulated 20 oz. Thermo Serv Travel Coffee Mugs ,2361,Brand New,0,True,313
